Rank,Attraction
1,Salavat Yulaev Monument
2,Fountain Seven Girls
3,Ufa Botanical Garden
4,National Museum of The Republic of Bashkortostan
5,Lyalya Tyulpan Mosque
6,Ufa-Arena
7,Victory Park
8,I. Yakutov Park
9,Bashkir State Opera and Ballet Theatre
10,S. Aksakov Garden of Culture and Rest
11,Bashkortostan Forester's Park
12,Monument Mustai Karim
13,Bashkir State Art Museum
14,Square of Two Fontains
15,Lemonarium
16,Ferris Wheel
17,Ethnical Park Vatan
18,Monument Druzhby
19,The Cathedral of the Nativity of the Virgin
20,Gammy Adventure Rope Park
21,Congress Hall
22,Garden of Aleksandr Matrosov
23,Planetarium
24,Monument to Minnigali Gubaydullin And Aleksandr Matrosov
25,Mall Tsentralny
26,Museum of Archaeology and Ethnography
27,Baskortostan State Academical Russian Drama Theatre
28,Planeta
29,M. Gafuri Central Park of Culture and Recreation
30,Republican Museum of Military Glory
