Rank,Attraction
1,AT&T Stadium
2,Globe Life Park
3,Top O'Hill Terrace
4,River Legacy Park
5,Six Flags Over Texas
6,Texas Live!
7,Six Flags Hurricane Harbor
8,International Bowling Museum & Hall of Fame
9,Tails and Trails Dog Park
10,Levitt Pavilion
11,Esports Stadium Arlington & Expo Center
12,Division Brewing
13,Cooper Street Antique Mall
14,Planetarium at the University of Texas at Arlington
15,Legal Draft Beer Company
16,College Park Center
17,Arlington Highlands
18,Studio Movie Grill (Arlington Highlands)
19,Randol Mill Family Aquatic Center
20,Moore Memorial Gardens
21,Arlington Museum of Art
22,Richard Greene Linear Park
23,Theatre Arlington
24,George W. Hawkes Downtown Library
25,Ice at The Parks
26,Arlington Visitor Welcome Center
27,Dyno-Rock Indoor Climbing Center
28,Randol Mill Park
29,Cravens Park
30,Stoney's Cowboys Museum
