Rank,Attraction
1,Unikkaarvik Visitor Centre
2,Baffin Island
3,Quttinirpaaq National Park
4,Ellesmere Island
5,Nunatta Sunakkutaangit Museum
6,Auyuittuq National Park
7,Arctic Coast Visitor Centre
8,Legislative Assembly of Nunavut
9,The Matchbox Gallery
10,Sylvia Grinnell Territorial Park
11,Apex Beach
12,Sirmilik National Park
13,Kugluktuk Visitor Heritage Centre
14,Mallikjuaq Territorial Park
15,Margaret Aniksak Visitor's Centre
16,Katannilik Territorial Park
17,St. Jude's Cathedral
18,Ovayok Territorial Park
19,Soper River (Kuujjuaq)
20,Northern Collectables
21,Angmarlik Visitor Centre
22,Iqalugaarjuup Nunanga Territorial Park
23,Tasiluliariaq Rotary Park
24,Canadian High Arctic Research Station
25,Qaummaarviit Territorial Park
26,Rannva
27,Inukpak Outfitting
28,Carvings Nunavut
29,Storehouse Bar & Grill
30,West Baffin Eskimo Co-operative
