Rank,Attraction
1,Stratford Festival
2,Avon Theater
3,Shakespearean Gardens
4,Junction 56 Distillery
5,The Stratford Perth Museum
6,Upper Queen's Park
7,Black Swan Brewing
8,Stratford City Hall
9,Jobsite Brewing Co.
10,Studio Theatre
11,Stratford Art in the Park
12,Slow Food Sunday Market
13,shane norrie contemporary
14,Knox Presbyterian Church
15,Gallery Stratford
16,Stratford Farmers Market
17,Herald Haus Brewing Company
18,Tom Patterson Theatre
19,Stratford Tourism Alliance
20,Perth County Courthouse
21,Koolen Fine Arts
22,Mountain Galleries East
23,Gregory Connor Antiques
24,Land of Youth
25,Antique to Unique
26,Agora Gallery
27,St. John's United Church
28,Lynn River Farm
29,Rheo Thompson Candies
30,Chocolate Barr's
