Rank,Attraction
1,Yellowstone National Park
2,Lamar Valley
3,Going-to-the-Sun Road
4,Grand Canyon of the Yellowstone
5,Grand Prismatic Spring
6,Beartooth Highway
7,Museum of the Rockies
8,A Carousel for Missoula
9,Aerial Fire Depot and Smokejumper Center
10,The Rimrocks
11,Grizzly and Wolf Discovery Center
12,City Beach
13,Moss Mansion
14,Rocky Mountain Elk Foundation
15,Old Faithful
16,Big Sky Resort
17,Grinnell Glacier
18,Gates of the Mountains
19,Conrad Mansion
20,Lower Yellowstone River Falls
21,Ousel Falls Trail
22,Garnet Ghost Town
23,Flathead National Forest
24,Lone Pine State Park
25,Whitefish Depot
26,Flathead Lake State Park
27,Lewis and Clark Interpretive Center
28,Rattlesnake National Recreation Area
29,World Museum of Mining
30,Lake McDonald
