Rank,Attraction
1,Signal Hill
2,Cape Spear Lighthouse National Historic Site
3,The Rooms
4,East Coast Trail
5,Jellybean Row Houses
6,North Head Trail
7,Terry Fox Monument
8,Quidi Vidi Brewery
9,George Street
10,Quidi Vidi
11,Cabot Tower
12,Basilica Cathedral of St. John the Baptist
13,Bowring Park
14,Quidi Vidi Lake Trail
15,Newman Wine Vaults
16,Quidi Vidi Battery
17,Spirit of Newfoundland
18,Bannerman Park
19,MUN Botanical Garden
20,Rennie's River Trail
21,Commissariat House
22,Ocean Sciences Centre Marine Public Education Program
23,Fort Amherst Lighthouse
24,Anglican Cathedral  of St. John the Baptist
25,National War Memorial
26,Railway Coastal Museum
27,St. John's Farmers' Market
28,Harbourside Park
29,Quidi Vidi Village Plantation
30,Pippy Park
