Rank,Attraction
1,Grand Place
2,Historic Centre of Brugge
3,Antwerpen-Centraal
4,Ghent City Center
5,Montagne de Bueren
6,Atlantikwall Raversyde
7,Abbaye Notre-Dame de Saint-Remy
8,The Markt
9,Gravensteen
10,Citadelle de Dinant
11,Town Hall (Stadhuis)
12,Menin Gate Memorial
13,Groot Begijnhof
14,Graslei and Korenlei
15,Old Town of Durbuy
16,Japanese Tuin
17,Last Post ceremony
18,St. Bavo's Cathedral (Sint-Baafskathedraal)
19,St. Rumbold's Cathedral
20,Domaine de Berinzenne
21,Citadelle (Citadel)
22,Brewery Der Trappisten Van Westmalle
23,Botanical Garden Kruidtuin
24,Brouwerij Het Anker
25,Huisje van Majutte
26,Bastogne War Museum
27,Abdijsite Herkenrode
28,Le Bois du Cazier
29,Francois Duesberg Museum
30,Pairi Daiza
