Rank,Attraction
1,Grand Ole Opry
2,Titanic Museum Attraction
3,Sugarlands Distilling Company
4,Sun Studio
5,Tennessee Aquarium
6,Ryman Auditorium
7,Market Square
8,Foster Falls
9,Ole Smoky Tennessee Moonshine
10,Smoky Mountain Deer Farm & Exotic Petting Zoo
11,Roaring Fork Motor Nature Trail
12,Lookout Mountain
13,The Island in Pigeon Forge
14,Forbidden Caverns
15,Ijams Nature Center
16,Parrot Mountain & Gardens
17,Graceland
18,Foothills Parkway
19,Cherokee National Forest
20,Dollywood
21,Raccoon Mountain Caverns
22,Ole Smoky
23,Country Music Hall of Fame and Museum
24,Lotz House Museum
25,Clingmans Dome
26,Smoky Mountain Alpine Coaster
27,Hillside Winery
28,National Civil Rights Museum - Lorraine Motel
29,Cades Cove
30,Belle Meade Historic Site & Winery
