Rank,Attraction
1,Henry Doorly Zoo
2,Sunken Gardens
3,Toadstool Geologic Park
4,Museum of American Speed
5,Old Market
6,The Durham Museum
7,Bob Kerrey Pedestrian Bridge
8,Lauritzen Gardens Omaha's Botanical Center
9,Niobrara River
10,Joslyn Art Museum
11,Great Platte River Road Archway Monument
12,Crane Trust Nature & Visitor Center
13,Union Pacific Railroad Bailey Yard
14,Lincoln Children's Zoo
15,Omaha Children's Museum
16,Lake McConaughy
17,TD Ameritrade Park
18,Smith Falls State Park
19,Classic Car Collection
20,Golden Spike Tower and Visitor Center
21,Nebraska State Capitol
22,Platte River Valley
23,Dismal River
24,Heartland of America Park
25,Strategic Air Command & Aerospace Museum
26,Monument Valley Pathway
27,Arbor Day Farm
28,Pioneer Park Nature Center
29,Memorial Stadium
30,Stuhr Museum of the Prairie Pioneer
