Rank,Attraction
1,Virginia Beach Boardwalk
2,Sandbridge Beach
3,Virginia Beach
4,Military Aviation Museum
5,Virginia Aquarium & Marine Science Center
6,First Landing State Park
7,Tarnished Truth Distilling Company
8,Back Bay National Wildlife Refuge
9,Neptune's Park
10,Cape Henry Lighthouse
11,Mount Trashmore Park
12,King Neptune Statue on the Boardwalk
13,Chick's Beach
14,False Cape State Park
15,Edgar Cayce's A.R.E. Association for Research and Enlightenment
16,Hunt Club Farm
17,Naval Air Station Oceana
18,Ocean Breeze Waterpark
19,Navy Seal Monument
20,Virginia Beach Fishing Pier
21,Naval Aviation Monument
22,Grommet Island Park
23,The Virginia Beach Convention Center
24,Sandbridge Little Island Fishing Pier
25,Virginia Museum of Contemporary Art
26,Norwegian Lady Statue
27,Chesapeake Bay Distillery
28,Lake Lawson/Lake Smith Natural Area
29,Virginia Beach Antique Mall
30,Motor World
