Rank,Attraction
1,Miles Canyon
2,Yukon Wildlife Preserve
3,Dempster Highway
4,Emerald Lake
5,Tombstone Territorial Park
6,Diamond Tooth Gerties Gambling Hall
7,MacBride Museum
8,S.S. Klondike
9,Yukon Visitor Information Centre
10,Yukon Suspension Bridge
11,Yukon Beringia Interpretive Centre
12,Yukon River
13,George Black Ferry
14,Dredge No. 4
15,Kluane National Park and Reserve
16,Whitehorse Fishway
17,Caribou Crossing Trading Post
18,Dawson City Visitor Information Centre
19,Carcross Desert
20,Yukon Brewing Company
21,Yukon Transportation Museum
22,Five Finger Rapids
23,Lake Laberge
24,Claim 33 Gold Panning
25,Fort Selkirk
26,"""The Whitehorse Horse"""
27,Kwanlin Dün Cultural Centre
28,Tatshenshini River
29,Dawson City Museum
30,Canada Games Centre
